name,value,area,age,distance,bath_toilet_separated,autolock
フェリーチェ上井草A,6.0,15.12,0,15,1,1
メゾン・ド・荻窪,4.5,12.11,40,7,0,0
ＪＲ中央線 荻窪駅 3階建 築40年,4.5,12.11,40,6,0,0
フェリーチェ上井草A,6.3,15.12,0,15,1,1
グローリア初穂阿佐ヶ谷,6.0,16.65,31,15,0,1
ＪＲ中央線 阿佐ヶ谷駅 3階建 築30年,5.2,12.25,30,9,1,0
ドゥエル荻窪 303号室,7.9,26.6,36,3,1,0
ユアパレス天沼 105号室,5.3,14.0,32,14,0,0
ＪＲ中央線 西荻窪駅 2階建 築36年,5.5,17.01,36,22,0,0
カーサデ藤原 103号室,5.8,19.03,35,5,0,0
ＪＲ総武線 荻窪駅 3階建 築24年,7.6,24.29,24,5,0,0
ＤＣ阿佐ヶ谷 0203号室,7.3,20.58,2,14,1,0
ドゥエル荻窪,7.9,26.6,36,3,1,0
ラ・ガーデニア,4.9,14.9,41,19,0,0
メゾン・ド・上荻,4.0,14.46,40,7,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築2年,6.8,15.01,2,11,1,0
ユアパレス天沼 105号室,5.3,14.0,32,15,0,0
ＪＲ中央線 西荻窪駅 2階建 築3年,6.0,14.07,3,17,1,0
ＪＲ中央線 荻窪駅 3階建 築49年,7.0,18.0,49,8,1,0
パレ・ホームズ高井戸,7.4,20.44,15,21,1,1
ARK　HOUSE ASAGAYA 106号室,8.2,17.75,31,18,1,1
メゾン・ド・リヨン 106号室,4.6,13.68,37,13,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
ＪＲ中央線 荻窪駅 2階建 築47年,2.3,9.2,47,6,0,0
La Perla Ogikubo 101号室,8.0,21.25,3,6,1,1
学生専用チェルシーハウス荻窪 202号室,5.5,9.5,28,12,1,0
ＤＣ阿佐ヶ谷,7.5,19.79,2,14,1,0
ＪＲ中央線 荻窪駅 4階建 新築,10.2,25.38,0,10,1,1
アジュール荻窪,5.8,10.35,3,5,0,0
ＪＲ総武線 阿佐ヶ谷駅 2階建 築2年,6.8,15.01,2,14,1,0
東京メトロ丸ノ内線 荻窪駅 5階建 築35年,5.7,16.1,35,3,0,0
ＪＲ中央線 荻窪駅 2階建 築32年,5.3,14.18,32,20,0,0
ＰＡＳＥＯ荻窪 304号室,10.3,25.7,1,10,1,1
PASEO荻窪,10.4,25.27,0,10,1,1
グレイスヴィラ,5.3,17.52,27,11,0,0
ＪＲ中央線 荻窪駅 4階建 築13年,7.1,17.4,13,6,1,1
スカイコート荻窪第２ 404号室,5.2,16.44,33,8,0,0
ＰＡＳＥＯ荻窪 302号室,10.5,25.38,1,10,1,1
OnCo荻窪 1号室,13.43,31.52,43,13,1,0
フェリーチェ荻窪II 302号室,6.5,13.81,2,8,0,1
ＪＲ中央線 荻窪駅 4階建 新築,10.2,25.7,0,10,1,1
プラウドフラット荻窪2,14.7,39.11,10,6,1,1
ＪＲ総武線 荻窪駅 2階建 築28年,8.2,36.0,28,10,1,0
ＪＲ中央線 荻窪駅 4階建 新築,10.3,25.31,0,10,1,1
ＪＲ中央線 荻窪駅 4階建 築40年,4.0,14.46,40,7,0,0
ＪＲ中央線 荻窪駅 4階建 新築,10.4,25.27,0,10,1,1
ＩＮＮ荻窪,4.9,13.19,33,10,0,0
梅村ハイツ,5.5,17.01,36,22,0,0
東京メトロ丸ノ内線 南阿佐ヶ谷駅 4階建 築31年,6.0,16.65,31,15,0,1
ミツヤハイム 102号室,5.6,16.8,30,17,0,0
ＪＲ中央線 荻窪駅 5階建 築33年,5.0,16.5,33,8,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築33年,5.3,14.0,33,13,0,0
スカイハイツ,5.5,19.44,39,24,0,0
メゾン・ド・セレナード 401号室,4.8,13.5,34,5,0,0
メゾンユー 101号室,5.4,12.0,29,10,0,0
ＪＲ中央線 阿佐ヶ谷駅 3階建 築40年,7.0,25.0,40,20,1,0
ＪＲ中央線 荻窪駅 4階建 築30年,5.3,20.01,30,16,0,1
メゾン・ド・スィエール 0202号室,4.9,15.27,37,5,0,0
コーボルト,5.5,18.54,30,8,0,0
ＪＲ中央線 荻窪駅 6階建 築20年,9.8,23.92,20,9,1,1
ＪＲ中央線 荻窪駅 4階建 築40年,4.4,15.5,40,6,0,0
ベルハイムおぎくぼ,5.8,16.27,27,10,0,0
ライフピア・リヴェール 103号室,4.9,10.57,12,13,0,1
東京メトロ丸ノ内線 荻窪駅 3階建 築36年,5.5,12.0,36,8,1,0
ＪＲ中央線 荻窪駅 3階建 築8年,6.7,17.7,8,7,1,0
ＪＲ中央線 荻窪駅 4階建 新築,10.1,25.38,0,9,1,1
メゾンユー 101号室,5.4,12.0,29,7,0,0
ラ・パルフェ・ド・プリモ,5.3,20.01,30,16,0,0
ヴィラエミール,6.0,20.7,32,20,1,0
メゾン・ド・パラレール 504号室,4.9,16.0,35,28,0,0
ＪＲ中央線 荻窪駅 2階建 築5年,5.8,12.64,5,12,1,1
アーバンプレイス荻窪,5.1,12.0,9,10,1,1
ＤＣ阿佐ヶ谷,6.8,15.01,2,16,1,0
ＪＲ中央線 荻窪駅 4階建 新築,10.4,25.31,0,10,1,1
ラフィネ西荻,5.9,18.17,32,14,0,1
ＪＲ中央線 荻窪駅 地下1地上11階建 築4年,11.5,27.36,4,5,1,1
ハイツ井草野,5.0,20.89,40,23,1,0
ＪＲ中央線 荻窪駅 4階建 新築,10.5,25.38,0,10,1,1
