tokyo_osaka_salary
number,place,salary
1,Tokyo,435.9
2,Tokyo,622
3,Tokyo,518.4
4,Tokyo,941.7
5,Tokyo,655.6
6,Tokyo,600.4
7,Tokyo,594.9
8,Tokyo,407.5
9,Tokyo,718.3
10,Tokyo,560.3
11,Tokyo,589.8
12,Tokyo,713.4
13,Tokyo,524.6
14,Tokyo,554.3
15,Tokyo,530.3
16,Tokyo,482.8
17,Tokyo,498.2
18,Tokyo,558.1
19,Tokyo,667
20,Tokyo,659.6
21,Tokyo,473.1
22,Tokyo,361.7
23,Tokyo,586
24,Tokyo,594.1
25,Tokyo,701
26,Tokyo,506.2
27,Tokyo,624.6
28,Tokyo,528.8
29,Tokyo,682
30,Tokyo,706
31,Tokyo,457.9
32,Tokyo,427.8
33,Tokyo,551.5
34,Tokyo,561.8
35,Tokyo,494.3
36,Tokyo,587.9
37,Tokyo,624.7
38,Tokyo,616.4
39,Tokyo,480.3
40,Tokyo,555
41,Tokyo,402.3
42,Tokyo,666.2
43,Tokyo,681.1
44,Tokyo,425.4
45,Tokyo,377.6
46,Tokyo,421.7
47,Tokyo,371.7
48,Tokyo,640.1
49,Tokyo,426.2
50,Tokyo,677
51,Tokyo,675.4
52,Tokyo,667.5
53,Tokyo,795.8
54,Tokyo,552
55,Tokyo,579.3
56,Tokyo,540.4
57,Tokyo,482.6
58,Osaka,305.3
59,Osaka,303.9
60,Osaka,487.7
61,Osaka,621.5
62,Osaka,433.4
63,Osaka,358.6
64,Osaka,471.3
65,Osaka,540.8
66,Osaka,551.6
67,Osaka,406.1
68,Osaka,541.5
69,Osaka,654.8
70,Osaka,301
71,Osaka,318.6
72,Osaka,422.5
73,Osaka,298
74,Osaka,554.9
75,Osaka,198.5
76,Osaka,526.3
77,Osaka,469.7
78,Osaka,434.2
79,Osaka,387.5
80,Osaka,445.9
81,Osaka,519.8
82,Osaka,432.9
83,Osaka,566.3
84,Osaka,448.3
85,Osaka,363.7
86,Osaka,500.5
87,Osaka,370.8
88,Osaka,485.4
89,Osaka,481.2
90,Osaka,338.5
91,Osaka,369.3
92,Osaka,451
93,Osaka,481.8
94,Osaka,430.9
95,Osaka,329.2
96,Osaka,604.1
97,Osaka,577.3
98,Osaka,452.1
99,Osaka,650.9
100,Osaka,441.1
101,Osaka,554.9
102,Osaka,434.1
