race_id,race_round,race_title,weather,ground_status,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,is_left_right_straight,distance,hour
202205010101,1,3歳未勝利,天候 : 曇,ダート : 良,2022年1月29日,東京,16,1,2,2,4,2,3,790,200,180,200,590,1560,580,760,540,3500,3450,19720,左,1400,10
202205010102,2,3歳新馬,天候 : 曇,ダート : 良,2022年1月29日,東京,16,8,16,6,12,1,2,400,130,110,200,330,350,180,700,450,890,1420,6330,左,1400,10
202205010103,3,3歳未勝利,天候 : 曇,ダート : 良,2022年1月29日,東京,16,2,4,4,8,4,7,19070,3030,240,380,9040,65370,12970,20620,1500,199920,209060,2475070,左,1600,11
202205010104,4,3歳1勝クラス,天候 : 曇,ダート : 良,2022年1月29日,東京,16,1,2,6,12,8,16,9120,1660,2380,180,8000,267610,42750,5130,3590,574380,314170,3668310,左,1600,11
202205010107,7,4歳以上1勝クラス,天候 : 晴,ダート : 良,2022年1月29日,東京,16,2,3,2,4,6,11,330,160,270,270,1890,1490,420,460,830,2330,2900,12200,左,1400,13
202205010108,8,4歳以上2勝クラス,天候 : 晴,ダート : 良,2022年1月29日,東京,16,5,9,3,6,5,10,140,110,170,160,470,580,290,210,530,670,1000,2720,左,2100,14
202205010109,9,白嶺ステークス ,天候 : 晴,ダート : 良,2022年1月29日,東京,14,1,1,8,13,3,4,2300,530,150,400,2800,4280,1800,4280,800,10680,14140,103890,左,1600,14
202205010201,1,3歳未勝利,天候 : 晴,ダート : 良,2022年1月30日,東京,16,7,13,2,3,3,6,560,230,430,200,4670,6120,1720,660,1310,10890,10120,67590,左,1400,10
202205010202,2,3歳未勝利,天候 : 晴,ダート : 良,2022年1月30日,東京,13,8,13,5,6,6,9,1570,310,180,380,1990,2430,820,2290,1040,6520,8860,62490,左,2100,10
202205010203,3,3歳未勝利,天候 : 晴,ダート : 良,2022年1月30日,東京,16,8,16,1,1,5,10,2350,630,330,260,11730,15740,4040,3220,1530,27590,29500,252460,左,1600,11
202205010204,4,4歳以上1勝クラス,天候 : 晴,ダート : 良,2022年1月30日,東京,16,7,14,6,11,6,12,160,110,140,400,320,330,190,750,1370,520,2460,6970,左,1600,11
202205010207,7,4歳以上1勝クラス,天候 : 曇,ダート : 良,2022年1月30日,東京,12,6,8,6,7,8,12,350,140,210,140,1680,1940,640,330,670,3070,2370,13300,左,2100,13
202205010208,8,4歳以上2勝クラス,天候 : 曇,ダート : 良,2022年1月30日,東京,16,3,6,6,12,4,7,150,110,170,330,450,470,230,590,1560,570,2400,5090,左,1400,14
202205010211,11,第36回根岸ステークス(G3),天候 : 曇,ダート : 良,2022年1月30日,東京,16,6,11,4,7,4,8,1150,390,270,190,1010,3680,1500,1080,740,7070,5990,34910,左,1400,15
202205010301,1,3歳未勝利,天候 : 晴,ダート : 良,2022年2月5日,東京,16,3,6,6,12,6,11,240,140,160,350,560,780,340,820,1250,1190,3310,11840,左,1400,10
202205010302,2,3歳未勝利,天候 : 晴,ダート : 良,2022年2月5日,東京,16,8,15,6,11,2,4,3360,1600,1220,1220,3220,31340,6960,7750,5330,72040,153930,1388950,左,1300,10
202205010303,3,3歳未勝利,天候 : 晴,ダート : 良,2022年2月5日,東京,16,2,4,1,1,1,2,1720,320,150,160,1530,2170,770,1630,290,6430,3470,33610,左,1600,11
202205010304,4,3歳1勝クラス,天候 : 晴,ダート : 良,2022年2月5日,東京,16,6,11,2,4,8,15,170,130,1750,470,710,8570,3430,980,13680,11040,42780,155850,左,1400,11
202205010308,8,4歳以上1勝クラス,天候 : 曇,ダート : 良,2022年2月5日,東京,16,7,14,6,11,2,3,430,180,370,270,1590,2720,940,650,1780,4640,5890,28060,左,1600,14
202205010312,12,4歳以上2勝クラス,天候 : 曇,ダート : 良,2022年2月5日,東京,16,2,4,6,11,8,16,540,170,150,220,560,930,370,520,540,2160,1980,11120,左,1600,16
202205010401,1,3歳未勝利,天候 : 晴,ダート : 良,2022年2月6日,東京,16,7,13,6,11,7,14,350,150,310,150,1440,3050,880,370,880,4690,3400,19640,左,1400,10
202205010402,2,3歳未勝利,天候 : 晴,ダート : 良,2022年2月6日,東京,14,3,4,7,12,4,5,380,180,470,670,490,3020,1070,1580,4580,4700,20610,76630,左,2100,10
202205010403,3,3歳新馬,天候 : 晴,ダート : 良,2022年2月6日,東京,16,4,8,8,15,4,7,290,140,610,150,1590,6340,1780,260,1980,8340,5670,38100,左,1600,11
202205010404,4,4歳以上1勝クラス,天候 : 晴,ダート : 良,2022年2月6日,東京,16,3,6,5,9,6,11,1080,250,110,470,470,690,350,2430,630,3110,3250,34240,左,1600,11
202205010407,7,4歳以上1勝クラス,天候 : 曇,ダート : 良,2022年2月6日,東京,16,6,11,5,10,3,5,580,240,240,260,2090,2170,860,1170,1170,3820,6900,31450,左,1300,13
202205010410,10,銀蹄ステークス ,天候 : 曇,ダート : 良,2022年2月6日,東京,16,6,11,2,4,4,8,500,190,860,200,1140,11330,3650,570,2570,17350,15120,115630,左,1400,15
